Parm;PM10;NO2;NO;NOX;IQA;clusters
01/01/2021 02:00;17.6;7.6;0.51;8.28;35;0
01/01/2021 08:00;17.6;7.01;0.14;7.04;35;0
01/01/2021 10:00;17.6;3.82;0.01;3.57;35;0
01/01/2021 12:00;17.6;5.45;0.23;5.56;35;0
01/01/2021 14:00;17.6;4.28;0.05;4.13;35;0
01/01/2021 16:00;17.6;4.3;0.08;3.84;35;0
01/01/2021 18:00;17.6;6.5;0.13;6.34;35;0
01/01/2021 20:00;17.6;8.53;0.42;9.17;35;0
01/01/2021 22:00;17.6;9.65;1.08;11.31;35;0
02/01/2021 00:00;17.6;6.81;0.57;7.68;35;0
02/01/2021 02:00;17.6;6.59;0.53;7.41;35;0
02/01/2021 04:00;17.6;5.39;0.61;6.34;35;0
02/01/2021 06:00;17.6;5.7;0.36;6.23;35;0
02/01/2021 08:00;17.6;4.8;0.37;5.28;35;0
02/01/2021 10:00;17.6;2.86;0.02;2.63;35;0
02/01/2021 12:00;17.6;5.39;0.02;5.35;35;0
02/01/2021 14:00;17.6;8.42;0.25;8.79;35;0
02/01/2021 16:00;17.6;10.02;0.21;10.29;35;0
02/01/2021 18:00;17.6;14.37;0.18;14.52;35;0
02/01/2021 20:00;17.6;16.93;0.81;18.18;35;0
02/01/2021 22:00;17.6;18.23;0.8;19.44;35;0
03/01/2021 00:00;17.6;13.28;0.58;14.17;35;0
03/01/2021 02:00;17.6;10.26;0.03;10.11;35;0
03/01/2021 04:00;17.6;6.03;0.02;5.63;35;0
03/01/2021 06:00;11.5;7.54;0.02;6.98;23;0
03/01/2021 08:00;11.5;7.31;0.03;7.01;23;0
03/01/2021 10:00;11.5;6.92;0.01;6.62;23;0
03/01/2021 12:00;11.5;6.17;0.17;6.38;23;0
03/01/2021 14:00;11.5;5.53;0.17;5.73;23;0
03/01/2021 16:00;11.5;6.56;0.09;6.52;23;0
03/01/2021 18:00;11.5;6.15;0.13;6.24;23;0
03/01/2021 20:00;11.5;5.6;0.19;5.73;23;0
03/01/2021 22:00;11.5;5.91;0.01;5.61;23;0
04/01/2021 00:00;11.5;6.45;0.01;6.07;23;0
04/01/2021 02:00;11.5;5.81;0.09;5.61;23;0
04/01/2021 04:00;11.5;6.65;0.19;6.87;23;0
04/01/2021 06:00;11.5;7.64;0.01;7.3;23;0
04/01/2021 08:00;11.5;14.59;0.06;14.42;23;0
04/01/2021 10:00;11.5;11.81;0.05;11.56;23;0
04/01/2021 12:00;17.7;4.28;0.02;3.96;35;0
04/01/2021 14:00;17.7;3.51;0.03;3.04;35;0
04/01/2021 16:00;17.7;3.77;0.2;3.66;35;0
04/01/2021 18:00;17.7;3.57;0.03;3.12;35;0
04/01/2021 20:00;17.7;4.54;0.02;4.37;35;0
04/01/2021 22:00;17.7;4.95;0.01;4.55;35;0
05/01/2021 00:00;17.7;6.47;0.13;6.15;35;0
05/01/2021 02:00;17.7;9.18;0.77;10.24;35;0
05/01/2021 06:00;17.7;6.84;0.37;7.08;35;0
05/01/2021 08:00;17.7;8.91;0.41;9.52;35;0
05/01/2021 10:00;17.7;5.81;0.39;6.16;35;0
05/01/2021 12:00;17.7;5.9;0.07;5.82;35;0
05/01/2021 14:00;17.7;6.42;0.37;6.97;35;0
05/01/2021 16:00;17.7;6.11;0.07;5.94;35;0
05/01/2021 18:00;17.7;3.78;0.02;3.53;35;0
05/01/2021 20:00;17.7;8.77;0.18;8.87;35;0
05/01/2021 22:00;17.7;14.77;0.61;15.67;35;0
06/01/2021 00:00;17.7;17.09;1.38;19.19;35;0
06/01/2021 02:00;17.7;13.52;0.48;14.25;35;0
06/01/2021 04:00;17.7;17.2;0.62;18.15;35;0
06/01/2021 06:00;17.7;11.99;0.43;12.6;35;0
06/01/2021 08:00;17.7;11.51;0.21;11.49;35;0
06/01/2021 10:00;17.7;6.76;0.15;6.85;35;0
06/01/2021 12:00;26.4;3.69;0.01;3.27;53;3
06/01/2021 14:00;26.4;10.73;0.64;11.37;53;3
06/01/2021 16:00;26.4;29.85;12.29;48.68;53;4
06/01/2021 18:00;26.4;30.38;12.04;48.84;53;4
06/01/2021 20:00;26.4;31.9;16.58;57.31;53;4
06/01/2021 22:00;26.4;22.89;10.18;38.48;53;4
07/01/2021 00:00;26.4;16.2;2.28;19.7;53;3
07/01/2021 02:00;26.4;14.43;1.63;16.92;53;3
07/01/2021 04:00;26.4;12.45;1.85;15.28;53;3
07/01/2021 06:00;26.4;11.83;2.39;15.5;53;3
07/01/2021 08:00;26.4;23.14;4.62;30.22;53;4
07/01/2021 10:00;26.4;24.87;3.44;30.14;53;4
07/01/2021 14:00;26.4;57.02;11.39;74.45;53;4
07/01/2021 16:00;26.4;54.5;37.1;111.39;56;4
07/01/2021 18:00;26.4;41.52;21.15;73.94;53;4
07/01/2021 20:00;26.4;35.66;14.93;58.54;53;4
07/01/2021 22:00;26.4;11.21;0.58;12.01;53;3
08/01/2021 00:00;26.4;8.45;0.32;8.87;53;3
08/01/2021 02:00;26.4;9.3;0.02;8.9;53;3
08/01/2021 04:00;26.4;6.85;0.01;6.5;53;3
08/01/2021 06:00;13.2;5.09;0.13;4.46;26;0
08/01/2021 08:00;13.2;4.22;0;3.6;26;0
08/01/2021 10:00;13.2;3.72;0.01;3.33;26;0
08/01/2021 12:00;13.2;3.53;0.08;3.2;26;0
08/01/2021 14:00;13.2;4.09;0.19;4.13;26;0
08/01/2021 16:00;13.2;4.8;0.02;4.46;26;0
08/01/2021 18:00;13.2;6.61;0.17;6.71;26;0
08/01/2021 20:00;13.2;25.67;2.67;29.77;26;4
08/01/2021 22:00;13.2;18.84;2.5;22.67;26;0
09/01/2021 00:00;13.2;6.04;0.49;6.79;26;0
09/01/2021 02:00;13.2;6.46;1.01;8;26;0
09/01/2021 04:00;13.2;6.09;0.56;6.95;26;0
09/01/2021 06:00;13.2;5.35;0.42;5.99;26;0
09/01/2021 08:00;13.2;5.31;0.23;5.65;26;0
09/01/2021 10:00;13.2;8.22;0.31;8.68;26;0
09/01/2021 12:00;13.2;9.36;0.38;9.93;26;0
09/01/2021 14:00;13.2;10.78;0.28;11.19;26;0
09/01/2021 16:00;13.2;14.53;0.23;14.8;26;0
09/01/2021 18:00;13.2;13.11;0.11;13.21;26;0
09/01/2021 20:00;13.2;13.97;0.25;14.35;26;0
09/01/2021 22:00;13.2;16.19;0.52;16.98;26;0
10/01/2021 00:00;13.2;12.4;0.36;12.94;26;0
10/01/2021 04:00;13.2;5.94;0.05;5.62;26;0
10/01/2021 06:00;27.5;5.23;0.01;4.91;55;3
10/01/2021 08:00;27.5;5.16;0.01;4.45;55;3
10/01/2021 10:00;27.5;5.12;0.01;4.71;55;3
10/01/2021 12:00;27.5;5.75;0.13;5.68;55;3
10/01/2021 14:00;27.5;8.34;0.17;8.38;55;3
10/01/2021 16:00;27.5;9.98;0.36;10.32;55;3
10/01/2021 18:00;27.5;6.58;0.02;6.41;55;3
10/01/2021 20:00;27.5;5.82;0.18;6.02;55;3
10/01/2021 22:00;27.5;8.71;0.71;9.8;55;3
11/01/2021 00:00;27.5;8.37;0.47;9.1;55;3
11/01/2021 02:00;27.5;7.18;0.14;7.22;55;3
11/01/2021 08:00;27.5;7.07;0.05;6.98;55;3
11/01/2021 10:00;27.5;13.74;0.49;14.49;55;3
11/01/2021 12:00;27.5;19.17;5.19;27.12;55;3
11/01/2021 14:00;27.5;16.25;1.63;18.63;55;3
11/01/2021 16:00;27.5;17.62;2.19;20.85;55;3
11/01/2021 18:00;27.5;25.19;2.45;28.94;55;4
11/01/2021 20:00;27.5;14.97;1.43;17.14;55;3
11/01/2021 22:00;27.5;6.7;0.09;6.7;55;3
12/01/2021 00:00;28.2;2.52;0.01;2.17;56;3
12/01/2021 02:00;28.2;2.3;0.04;2;56;3
12/01/2021 04:00;28.2;3.8;0.21;3.65;56;3
12/01/2021 06:00;28.2;4.75;0.12;4.67;56;3
12/01/2021 08:00;28.2;13.6;2.04;16.57;56;3
12/01/2021 10:00;28.2;34.75;2.84;39.12;56;4
12/01/2021 12:00;28.2;52.83;42.71;118.36;59;4
12/01/2021 14:00;28.2;52.15;41.89;116.37;58;4
12/01/2021 16:00;28.2;28.55;6.37;38.33;56;4
12/01/2021 18:00;28.2;18.49;2.3;22.02;56;3
12/01/2021 20:00;28.2;16.16;2.22;19.57;56;3
12/01/2021 22:00;28.2;17.05;2.28;20.54;56;3
13/01/2021 00:00;28.2;17.67;2.09;20.89;56;3
13/01/2021 02:00;28.2;37.26;11.07;54.22;56;4
13/01/2021 04:00;28.2;43.9;10.31;59.73;56;4
13/01/2021 06:00;28.2;49.89;14.82;72.61;56;4
13/01/2021 08:00;28.2;49.48;15.38;73.06;56;4
13/01/2021 10:00;28.2;43.36;12.05;61.83;56;4
13/01/2021 12:00;28.2;40.09;9.49;54.65;56;4
13/01/2021 18:00;28.2;27.47;4.24;33.98;56;4
13/01/2021 20:00;28.2;20.61;1.69;23.21;56;3
13/01/2021 22:00;28.2;12.81;0.46;13.48;56;3
14/01/2021 00:00;13.6;8.75;0.18;9;27;0
14/01/2021 02:00;13.6;6.19;0.15;5.97;27;0
14/01/2021 04:00;13.6;4.73;0.03;4.47;27;0
14/01/2021 06:00;13.6;9.14;0.74;10.19;27;0
14/01/2021 08:00;13.6;18.96;5.94;27.99;27;0
14/01/2021 10:00;13.6;22.55;8.59;35.72;27;4
14/01/2021 12:00;13.6;26.56;11.04;43.49;27;4
14/01/2021 14:00;13.6;31.69;8.14;44.19;27;4
14/01/2021 16:00;13.6;29.34;9.4;43.77;27;4
14/01/2021 18:00;13.6;21.64;9.78;36.64;27;4
14/01/2021 20:00;13.6;17.83;9.28;32.05;27;4
14/01/2021 22:00;13.6;23.23;12.77;42.81;27;4
15/01/2021 00:00;13.6;16.41;4.97;24.03;27;0
15/01/2021 02:00;13.6;18.6;8.87;32.2;27;4
15/01/2021 04:00;13.6;16.2;8.49;29.23;27;0
15/01/2021 06:00;13.6;15.6;6.27;25.2;27;0
15/01/2021 08:00;13.6;15.45;7.05;26.24;27;0
15/01/2021 10:00;13.6;16.03;6.98;26.67;27;0
15/01/2021 12:00;13.6;13.7;3.7;19.37;27;0
15/01/2021 14:00;13.6;9.52;2.06;12.68;27;0
15/01/2021 16:00;13.6;5.57;0.85;6.76;27;0
15/01/2021 18:00;13.6;3.98;0.07;3.71;27;0
15/01/2021 20:00;12.1;3.86;0.01;3.57;24;0
15/01/2021 22:00;12.1;4.34;0.33;4.41;24;0
16/01/2021 00:00;12.1;4;0.37;4.21;24;0
16/01/2021 02:00;12.1;4.75;0.71;5.67;24;0
16/01/2021 04:00;12.1;12.59;4.49;19.46;24;0
16/01/2021 06:00;12.1;9.59;1.11;11.16;24;0
16/01/2021 08:00;12.1;13.82;4.88;21.28;24;0
16/01/2021 10:00;12.1;19.22;13.79;40.36;24;4
16/01/2021 12:00;12.1;17.43;9.27;31.61;24;0
16/01/2021 14:00;12.1;16.76;6.36;26.51;24;0
16/01/2021 16:00;12.1;21.47;7.77;33.38;24;4
16/01/2021 18:00;12.1;15.94;3.55;21.38;24;0
16/01/2021 20:00;12.1;16.47;4.52;23.4;24;0
16/01/2021 22:00;12.1;16.91;5.01;24.58;24;0
17/01/2021 00:00;12.1;15.46;4.12;21.79;24;0
17/01/2021 06:00;12.1;13.26;3.9;19.24;24;0
17/01/2021 08:00;12.1;14.35;6.21;23.87;24;0
17/01/2021 10:00;12.1;14.56;5.14;22.44;24;0
17/01/2021 12:00;12.1;16.98;3.08;21.7;24;0
17/01/2021 14:00;12.1;16.66;1.62;19.14;24;0
17/01/2021 16:00;12.1;16.2;1.26;18.11;24;0
17/01/2021 18:00;12.1;6.97;0.08;6.89;24;0
17/01/2021 20:00;13.5;4.48;0.04;4.16;27;0
17/01/2021 22:00;13.5;3.56;0.05;3.3;27;0
18/01/2021 00:00;13.5;26.86;0.04;26.46;27;0
18/01/2021 04:00;13.5;5.48;0.01;4.86;27;0
18/01/2021 06:00;13.5;5.3;0.04;4.9;27;0
18/01/2021 08:00;13.5;7.65;0.62;8.4;27;0
18/01/2021 10:00;13.5;11.24;2.21;14.63;27;0
18/01/2021 12:00;13.5;11.01;2.12;14.22;27;0
18/01/2021 14:00;13.5;15.88;3.27;20.89;27;0
18/01/2021 16:00;13.5;16.11;3.98;22.22;27;0
18/01/2021 18:00;13.5;18.26;4.47;25.13;27;0
18/01/2021 20:00;13.5;18.55;2.57;22.5;27;0
18/01/2021 22:00;13.5;16.79;1.01;18.35;27;0
19/01/2021 00:00;13.5;14.02;1.35;16.09;27;0
19/01/2021 04:00;13.5;12.43;2.94;16.94;27;0
19/01/2021 06:00;13.5;15.31;1.83;18.11;27;0
19/01/2021 08:00;13.5;16.64;2.84;21.01;27;0
19/01/2021 10:00;13.5;13.37;3.72;19.07;27;0
19/01/2021 12:00;13.5;7.82;1.67;10.38;27;0
19/01/2021 14:00;13.5;5.85;1.01;7.37;27;0
19/01/2021 16:00;13.5;4.46;0.14;4.39;27;0
19/01/2021 18:00;13.5;3.34;0.03;3.1;27;0
19/01/2021 20:00;17.4;2.74;0.04;2.29;35;0
19/01/2021 22:00;17.4;2.4;0.11;2;35;0
20/01/2021 00:00;17.4;3.66;0.65;4.42;35;0
20/01/2021 06:00;17.4;13.23;6.32;22.88;35;0
20/01/2021 08:00;17.4;12.58;6.37;22.35;35;0
20/01/2021 10:00;17.4;19.58;14.95;42.49;35;4
20/01/2021 12:00;17.4;16.33;10.75;32.85;35;4
20/01/2021 14:00;17.4;11.71;7.26;22.85;35;0
20/01/2021 16:00;17.4;12.1;5.62;20.75;35;0
20/01/2021 18:00;17.4;14.14;4.78;21.47;35;0
20/01/2021 20:00;17.4;18.7;8.39;31.61;35;4
20/01/2021 22:00;17.4;13.63;3.54;19.09;35;0
21/01/2021 00:00;17.4;19.2;6.56;29.25;35;4
21/01/2021 08:00;17.4;25.66;10.22;41.32;35;4
21/01/2021 10:00;17.4;32.76;11.85;50.94;35;4
21/01/2021 12:00;17.4;23.68;11.34;41.08;35;4
21/01/2021 14:00;17.4;16.68;6.2;26.19;35;0
21/01/2021 16:00;17.4;15.44;10;30.8;35;4
21/01/2021 18:00;17.4;11.49;4.2;17.95;35;0
21/01/2021 20:00;17.4;6.29;0.9;7.52;35;0
21/01/2021 22:00;17.4;5.25;0.09;5.14;35;0
22/01/2021 00:00;14.8;4.23;0.15;4.01;30;0
22/01/2021 02:00;14.8;3.56;0.01;3;30;0
22/01/2021 08:00;14.8;2.93;0.01;2.45;30;0
22/01/2021 10:00;14.8;6.87;1.49;9.11;30;0
22/01/2021 12:00;14.8;16.38;7.63;28.06;30;0
22/01/2021 14:00;14.8;15.64;9.33;29.96;30;0
22/01/2021 16:00;14.8;20.7;20.75;52.53;30;4
22/01/2021 18:00;14.8;12.34;7.94;24.51;30;0
22/01/2021 20:00;14.8;10.36;5.93;19.46;30;0
22/01/2021 22:00;14.8;10.41;4.64;17.52;30;0
23/01/2021 00:00;14.8;12.56;4.27;19.12;30;0
23/01/2021 06:00;14.8;15.39;7.33;26.62;30;0
23/01/2021 08:00;14.8;11.64;3.16;16.48;30;0
23/01/2021 10:00;14.8;15.19;8.35;27.98;30;0
23/01/2021 12:00;14.8;17.93;9.37;32.3;30;4
23/01/2021 14:00;14.8;14.65;4.62;21.74;30;0
23/01/2021 16:00;14.8;14.94;6.64;25.11;30;0
23/01/2021 18:00;14.8;12.1;4.32;18.73;30;0
23/01/2021 20:00;14.8;11.86;3.93;17.88;30;0
23/01/2021 22:00;14.8;7.03;0.69;8.02;30;0
24/01/2021 06:00;14.8;5.48;0.42;6.01;30;0
24/01/2021 10:00;14.8;4.39;0.38;4.82;30;0
24/01/2021 12:00;20.6;5.42;0.91;6.46;41;3
24/01/2021 14:00;20.6;3.1;0.04;2.88;41;3
24/01/2021 18:00;20.6;4.67;0.17;4.64;41;3
24/01/2021 20:00;20.6;10.53;3.63;16.08;41;3
24/01/2021 22:00;20.6;12.41;1.45;14.62;41;3
25/01/2021 00:00;20.6;26.26;19.86;56.71;41;4
25/01/2021 04:00;20.6;30.79;33.52;82.25;41;4
25/01/2021 06:00;20.6;22.41;13.58;43.23;41;4
25/01/2021 08:00;20.6;13.71;4.75;20.99;41;3
25/01/2021 10:00;20.6;12.68;4.36;19.38;41;3
25/01/2021 12:00;20.6;11.98;3.9;17.97;41;3
25/01/2021 14:00;20.6;16.5;6.59;26.6;41;3
25/01/2021 16:00;20.6;17.97;3.97;24.04;41;3
25/01/2021 18:00;20.6;22.11;4.69;29.28;41;4
25/01/2021 20:00;20.6;22.15;5.22;30.16;41;4
25/01/2021 22:00;20.6;23.59;5.32;31.75;41;4
26/01/2021 02:00;20.6;20.84;6.77;31.21;41;4
26/01/2021 04:00;20.6;16.55;4.36;23.23;41;3
26/01/2021 06:00;20.6;17.88;3.25;22.87;41;3
26/01/2021 08:00;20.6;14.64;1.41;16.8;41;3
26/01/2021 10:00;20.6;10.66;0.73;11.74;41;3
26/01/2021 12:00;20.6;7.54;0.12;7.62;41;3
26/01/2021 14:00;18.2;5.79;0.06;5.47;36;0
26/01/2021 16:00;18.2;5.65;0.03;5.21;36;0
26/01/2021 18:00;18.2;9.98;0.36;10.15;36;0
26/01/2021 20:00;18.2;12.69;2.53;16.49;36;0
26/01/2021 22:00;18.2;13.25;3.36;18.38;36;0
27/01/2021 02:00;18.2;9.36;0.92;10.78;36;0
27/01/2021 08:00;18.2;10.5;1.27;12.44;36;0
27/01/2021 10:00;18.2;11.37;2.32;14.92;36;0
27/01/2021 12:00;18.2;8.33;1.21;10.19;36;0
27/01/2021 14:00;18.2;9.89;3.49;15.23;36;0
27/01/2021 16:00;18.2;13.84;6.14;23.26;36;0
27/01/2021 18:00;18.2;9.07;2.97;13.63;36;0
27/01/2021 20:00;18.2;13.96;6.33;23.66;36;0
27/01/2021 22:00;18.2;18.88;3.18;23.76;36;0
28/01/2021 00:00;18.2;34.64;4.63;41.74;36;4
28/01/2021 02:00;18.2;29.66;2.38;33.31;36;4
28/01/2021 06:00;18.2;22.71;1.9;25.62;36;4
28/01/2021 08:00;18.2;13.07;1.65;15.6;36;0
28/01/2021 10:00;18.2;10.78;0.39;11.37;36;0
28/01/2021 12:00;18.2;7.95;0.21;8.2;36;0
28/01/2021 14:00;18.2;6.29;0.16;6.17;36;0
28/01/2021 16:00;18.3;5.04;0.03;4.79;37;0
28/01/2021 18:00;18.3;3.42;0.01;2.96;37;0
28/01/2021 20:00;18.3;3.78;0;3.21;37;0
28/01/2021 22:00;18.3;5.52;0;4.64;37;0
29/01/2021 02:00;18.3;6.01;0.16;5.77;37;0
29/01/2021 04:00;18.3;10.69;0.65;11.65;37;0
29/01/2021 06:00;18.3;21.35;3.69;27.01;37;4
29/01/2021 08:00;18.3;32.46;8.36;45.28;37;4
29/01/2021 10:00;18.3;29.69;11.47;47.29;37;4
29/01/2021 12:00;18.3;22.5;7.89;34.6;37;4
29/01/2021 14:00;18.3;15.51;4.73;22.78;37;3
29/01/2021 16:00;18.3;14.48;4.15;20.83;37;0
29/01/2021 18:00;18.3;14.32;3.5;19.69;37;0
29/01/2021 20:00;18.3;12;2.3;15.54;37;0
29/01/2021 22:00;18.3;14.51;1.49;16.79;37;0
30/01/2021 00:00;18.3;17.67;2.54;21.56;37;3
30/01/2021 02:00;18.3;24.51;2.49;28.33;37;4
30/01/2021 04:00;18.3;32.09;1.15;33.86;37;4
30/01/2021 06:00;18.3;34.66;1.25;36.54;37;4
30/01/2021 08:00;18.3;12.3;0.33;12.78;37;0
30/01/2021 10:00;18.3;13.08;0.61;13.89;37;0
30/01/2021 12:00;18.3;12.13;0.38;12.5;37;0
30/01/2021 14:00;18.3;11.86;2.07;14.69;37;0
30/01/2021 16:00;17;10.78;0.37;10.33;34;0
30/01/2021 18:00;17;9.72;0.73;10.64;34;0
30/01/2021 20:00;17;9.31;0.42;9.79;34;0
30/01/2021 22:00;17;10.8;0.85;12.09;34;0
31/01/2021 00:00;17;9.64;1.41;11.8;34;0
31/01/2021 02:00;17;9.55;1.66;12.09;34;0
31/01/2021 04:00;17;10.12;2.64;14.16;34;0
31/01/2021 06:00;17;12.06;2.47;15.85;34;0
31/01/2021 08:00;17;10.8;1.9;13.71;34;0
31/01/2021 10:00;17;10.37;1.13;12.02;34;0
31/01/2021 12:00;17;17.34;1.74;20.01;34;0
31/01/2021 14:00;17;15.59;2.01;18.67;34;0
31/01/2021 16:00;17;22.25;2.36;25.88;34;0
31/01/2021 18:00;17;22.69;1.73;25.34;34;0
31/01/2021 20:00;17;19.82;2.06;22.97;34;0
31/01/2021 22:00;17;18.81;1.82;21.61;34;0
01/02/2021 00:00;17;15.64;0.36;15.96;34;0
01/02/2021 02:00;17;9.67;0.18;9.21;34;0
01/02/2021 04:00;17;6.59;0.47;6.22;34;0
01/02/2021 06:00;17;3.85;0.14;3.01;34;0
01/02/2021 08:00;17;5.87;0.17;5.63;34;0
01/02/2021 10:00;17;7.41;0.72;8.29;34;0
01/02/2021 12:00;17;9.02;0.18;9.02;34;0
01/02/2021 14:00;17;8.27;0.02;7.6;34;0
01/02/2021 16:00;17;6.57;0.02;5.93;34;0
01/02/2021 18:00;17;11.77;0.08;11.63;34;0
01/02/2021 20:00;17;10.22;0.17;10.34;34;0
01/02/2021 22:00;17;9.3;0.05;8.75;34;0
02/02/2021 00:00;17;12.69;0.02;12.19;34;0
02/02/2021 02:00;17;13.14;0.01;12.42;34;0
02/02/2021 04:00;17;16.13;0.09;15.87;34;0
02/02/2021 06:00;17;12.33;0.1;11.8;34;0
02/02/2021 08:00;17;9.15;0.03;8.02;34;0
02/02/2021 10:00;14.9;5.18;0.05;3.84;30;0
02/02/2021 12:00;14.9;18.64;5.62;26.55;30;0
02/02/2021 14:00;14.9;20.34;4.97;27.94;30;0
02/02/2021 16:00;14.9;28.96;13.68;49.91;30;4
02/02/2021 18:00;14.9;20.4;7.37;31.69;30;4
02/02/2021 20:00;14.9;12.62;3.86;18.54;30;0
02/02/2021 22:00;14.9;10.46;2.87;14.86;30;0
03/02/2021 00:00;14.9;14.31;6.06;23.58;30;0
03/02/2021 02:00;14.9;20.02;8.09;32.44;30;4
03/02/2021 04:00;14.9;12.96;3.51;18.29;30;0
03/02/2021 06:00;14.9;12.09;3.19;16.89;30;0
03/02/2021 08:00;14.9;16.12;4.15;22.48;30;0
03/02/2021 10:00;14.9;16.3;2.46;20.07;30;0
03/02/2021 12:00;14.9;19.82;4.06;26.03;30;0
03/02/2021 14:00;14.9;15.42;1.3;17.05;30;0
03/02/2021 16:00;14.9;17.37;2.49;21;30;0
03/02/2021 18:00;14.9;12.86;0.01;11.37;30;0
03/02/2021 20:00;22.2;7.2;0.31;6.67;44;3
03/02/2021 22:00;22.2;19.64;5.01;27;44;3
04/02/2021 00:00;22.2;30.88;14.03;52.32;44;4
04/02/2021 02:00;22.2;30.88;12.95;50.7;44;4
04/02/2021 04:00;22.2;19.37;6.5;29.35;44;4
04/02/2021 06:00;22.2;13.76;4.24;20.25;44;3
04/02/2021 08:00;22.2;10.7;3.13;15.51;44;3
04/02/2021 10:00;22.2;11.11;2.77;15.22;44;3
04/02/2021 12:00;22.2;9.33;2.26;12.21;44;3
04/02/2021 14:00;22.2;9.01;1.22;10.7;44;3
04/02/2021 16:00;22.2;20.2;3.66;25.7;44;3
04/02/2021 18:00;22.2;37.62;3.64;43.2;44;4
04/02/2021 20:00;22.2;43.29;0.9;44.56;44;4
04/02/2021 22:00;22.2;34.63;0.62;35.46;44;4
05/02/2021 00:00;22.2;39.61;11.34;56.98;44;4
05/02/2021 02:00;22.2;32.78;5.79;41.66;44;4
05/02/2021 04:00;22.2;28.11;3.49;33.46;44;4
05/02/2021 06:00;22.2;18.19;0.04;17.42;44;3
05/02/2021 08:00;22.2;10.64;0;8.64;44;3
05/02/2021 10:00;15.7;32.85;3.54;38.29;31;4
05/02/2021 12:00;15.7;18.32;0.53;18.54;31;0
05/02/2021 14:00;19;37.71;0.03;37.23;38;4
05/02/2021 16:00;19;12.44;0.01;11.56;38;3
05/02/2021 18:00;19;11.1;0.07;10.66;38;3
05/02/2021 20:00;19;16.93;0.21;16.61;38;3
05/02/2021 22:00;19;25.43;0.11;25.15;38;4
06/02/2021 00:00;19;27.48;0.01;27.01;38;4
06/02/2021 02:00;19;20.73;0.04;20.26;38;3
06/02/2021 04:00;19;23.47;0.03;22.85;38;3
06/02/2021 06:00;19;15.68;0.04;15.01;38;3
06/02/2021 08:00;23.4;8.63;0.04;8.27;47;3
06/02/2021 10:00;23.4;7.64;0.04;7.52;47;3
06/02/2021 12:00;23.4;13.2;0.04;13.08;47;3
06/02/2021 14:00;23.4;13.12;0.04;12.96;47;3
06/02/2021 16:00;23.4;15.5;0.11;15.45;47;3
06/02/2021 18:00;23.4;11.08;0.04;10.7;47;3
06/02/2021 20:00;23.4;6.38;0.01;6;47;3
06/02/2021 22:00;23.4;7.25;0.01;6.5;47;3
07/02/2021 02:00;23.4;8.17;0.02;7.77;47;3
07/02/2021 06:00;23.4;7.48;0.01;6.33;47;3
07/02/2021 10:00;23.4;6.9;0;6.23;47;3
07/02/2021 12:00;23.4;6.86;0;6.07;47;3
07/02/2021 14:00;23.4;9.84;0;9.12;47;3
07/02/2021 18:00;23.4;10.75;0.05;9.97;47;3
07/02/2021 20:00;23.4;16.56;0.01;15.9;47;3
07/02/2021 22:00;23.4;15.08;0.01;14.55;47;3
08/02/2021 00:00;23.4;17.95;0.04;17.05;47;3
08/02/2021 04:00;23.4;13.78;0;12.74;47;3
08/02/2021 08:00;23.4;9.56;0.01;8.84;47;3
08/02/2021 10:00;23.4;7.04;0.01;6.43;47;3
08/02/2021 12:00;17.1;5.46;0;4.62;34;0
08/02/2021 14:00;17.1;6.41;0;5.68;34;0
08/02/2021 16:00;17.1;5.61;0.08;4.73;34;0
08/02/2021 18:00;17.1;4.64;0;3.94;34;0
08/02/2021 20:00;17.1;6.31;0;5.33;34;0
08/02/2021 22:00;17.1;7.9;0.01;6.99;34;0
09/02/2021 00:00;17.1;10.99;0;10.04;34;0
09/02/2021 04:00;17.1;11.72;0.26;11.73;34;0
09/02/2021 06:00;17.1;10.52;0;9.29;34;0
09/02/2021 08:00;17.1;11.94;0.01;11.11;34;0
09/02/2021 10:00;17.1;10.53;0.16;9.95;34;0
09/02/2021 12:00;17.1;7.79;0;6.7;34;0
09/02/2021 14:00;17.1;10.08;0.01;9.25;34;0
09/02/2021 16:00;17.1;11.37;0.14;11.21;34;0
09/02/2021 18:00;17.1;11.94;0.16;11.43;34;0
09/02/2021 20:00;17.1;9.08;0;8.4;34;0
09/02/2021 22:00;17.1;6.37;0;5.84;34;0
10/02/2021 06:00;17.1;5.98;0.04;5.41;34;0
10/02/2021 08:00;17.1;5.81;0.03;5.32;34;0
10/02/2021 10:00;17.1;10.94;0.02;10.31;34;0
10/02/2021 12:00;17.1;10.7;0;9.59;34;0
10/02/2021 14:00;17.1;7.46;0;6.6;34;0
10/02/2021 16:00;17.1;6.14;0.01;5.13;34;0
10/02/2021 18:00;17.1;5.59;0;4.5;34;0
10/02/2021 20:00;11.4;4.57;0.01;4.04;23;0
10/02/2021 22:00;11.4;3.52;0;2.47;23;0
11/02/2021 00:00;11.4;3.65;0;3.13;23;0
11/02/2021 02:00;9.8;17.4;0.84;17.32;20;0
11/02/2021 04:00;9.8;11.68;0.27;10.24;20;0
11/02/2021 06:00;9.8;15.35;1.14;16.43;20;0
11/02/2021 08:00;9.8;20.01;2.31;20.63;20;0
11/02/2021 10:00;9.8;10.51;0.29;5.43;20;0
11/02/2021 12:00;9.8;10.73;0.85;10.74;20;0
11/02/2021 14:00;9.8;11.65;0.3;9.52;20;0
